EcoTypeID,VegID,treeSpecfrac,EcoTypeDescription,Domain,,,,
2212,Alnus cordata,0.00002936,,SCAQMD,,,,
2212,Alnus rhombifolia,0.004613,,SCAQMD,,,,
2212,Araucaria heterophylla,0.00124,,SCAQMD,,,,
2212,Arbutus var. marina,0.00006424,,SCAQMD,,,,
2212,Archontophoenix cunninghamiana,0.0008387,,SCAQMD,,,,
2212,Auranticarpa rhombifolia,0.0001668,,SCAQMD,,,,
2212,Bauhinia blakeana,0.0002384,,SCAQMD,,,,
2212,Bauhinia forficata,0.00008442,,SCAQMD,,,,
2212,Bauhinia variegata,0.002064,,SCAQMD,,,,
2212,Betula pendula,0.0009296,,SCAQMD,,,,
2212,Brachychiton discolor,0.00002936,,SCAQMD,,,,
2212,Brachychiton populneus,0.03231,,SCAQMD,,,,
2212,Brahea edulis,0.0001797,,SCAQMD,,,,
2212,Broussonetia papyrifera,0.0007317,,SCAQMD,,,,
2212,Butia capitata,0.000141,,SCAQMD,,,,
2212,Callistemon citrinus,0.0006147,,SCAQMD,,,,
2212,Callistemon viminalis,0.0002255,,SCAQMD,,,,
2212,Calocedrus decurrens,0.001319,,SCAQMD,,,,
2212,Calodendrum capense,0.00004582,,SCAQMD,,,,
2212,Carya illinoensis,0.0003114,,SCAQMD,,,,
2212,Cassia leptophylla,0.0001339,,SCAQMD,,,,
2212,Catalpa bignonioides,0.00007518,,SCAQMD,,,,
2212,Catalpa speciosa,0.000418,,SCAQMD,,,,
2212,Cedrus atlantica,0.0007044,,SCAQMD,,,,
2212,Cedrus deodara,0.007019,,SCAQMD,,,,
2212,Celtis reticulata,0.00004582,,SCAQMD,,,,
2212,Celtis sinensis,0.0005634,,SCAQMD,,,,
2212,Ceratonia siliqua,0.0007577,,SCAQMD,,,,
2212,Cercis canadensis,0.0007174,,SCAQMD,,,,
2212,Cercis occidentalis,0.0005505,,SCAQMD,,,,
2212,Chamaerops humilis,0.0003028,,SCAQMD,,,,
2212,Chionanthus retusus,0.002322,,SCAQMD,,,,
2212,Chitalpa tashkentensis,0.0005653,,SCAQMD,,,,
2212,Chorisia speciosa,0.00163,,SCAQMD,,,,
2212,Cinnamomum camphora,0.06051,,SCAQMD,,,,
2212,Citrus limon,0.0007541,,SCAQMD,,,,
2212,Citrus sinensis,0.0001266,,SCAQMD,,,,
2212,Citrus x paradisi,0.00001285,,SCAQMD,,,,
2212,Cotinus coggygria,0.00001285,,SCAQMD,,,,
2212,Cupaniopsis anacardioides,0.03087,,SCAQMD,,,,
2212,Cupressus leylandii,0.0005504,,SCAQMD,,,,
2212,Cupressus macrocarpa,0.00002936,,SCAQMD,,,,
2212,Cupressus sempervirens,0.00977,,SCAQMD,,,,
2212,Cycas revoluta,0.001457,,SCAQMD,,,,
2212,Dypsis decaryi,0.0001431,,SCAQMD,,,,
2212,Eriobotrya deflexa,0.0001724,,SCAQMD,,,,
2212,Eriobotrya japonica,0.0007359,,SCAQMD,,,,
2212,Erythrina bidwillii,0.00001285,,SCAQMD,,,,
2212,Erythrina caffra,0.0002537,,SCAQMD,,,,
2212,Eucalyptus,0.00004582,,SCAQMD,,,,
2212,Eucalyptus camaldulensis,0.001542,,SCAQMD,,,,
2212,Eucalyptus citriodora,0.003101,,SCAQMD,,,,
2212,Eucalyptus cladocalyx,0.001934,,SCAQMD,,,,
2212,Eucalyptus ficifolia,0.0004853,,SCAQMD,,,,
2212,Eucalyptus globulus,0.007698,,SCAQMD,,,,
2212,Eucalyptus leucoxylon,0.0003902,,SCAQMD,,,,
2212,Eucalyptus maculata,0.0003737,,SCAQMD,,,,
2212,Eucalyptus nicholii,0.001725,,SCAQMD,,,,
2212,Eucalyptus polyanthemos,0.00395,,SCAQMD,,,,
2212,Eucalyptus robusta,0.0005017,,SCAQMD,,,,
2212,Eucalyptus rudis,0.003611,,SCAQMD,,,,
2212,Eucalyptus sideroxylon,0.003965,,SCAQMD,,,,
2212,Euphorbia tirucalli,0.00001285,,SCAQMD,,,,
2212,Feijoa sellowiana,0.00001285,,SCAQMD,,,,
2212,Ficus benjamina,0.007357,,SCAQMD,,,,
2212,Ficus carica,0.0001338,,SCAQMD,,,,
2212,Ficus elastica,0.000297,,SCAQMD,,,,
2212,Ficus macrophylla,0.0001375,,SCAQMD,,,,
2212,Ficus microcarpa,0.0001375,,SCAQMD,,,,
2212,Ficus nitida,0.01333,,SCAQMD,,,,
2212,Ficus rubiginosa,0.0002573,,SCAQMD,,,,
2212,Ficus watkinsiana,0.00002936,,SCAQMD,,,,
2212,Fraxinus angustifolia,0.00004582,,SCAQMD,,,,
2212,Fraxinus oxycarpa,0.0171,,SCAQMD,,,,
2212,Fraxinus uhdei,0.02135,,SCAQMD,,,,
2212,Fraxinus velutina,0.01261,,SCAQMD,,,,
2212,Geijera parviflora,0.002938,,SCAQMD,,,,
2212,Ginkgo biloba,0.000692,,SCAQMD,,,,
2212,Gleditsia triacanthos,0.003025,,SCAQMD,,,,
2212,Grevillea robusta,0.0044,,SCAQMD,,,,
2212,Handroanthus impetiginosus,0.001292,,SCAQMD,,,,
2212,Hibiscus rosa-sinensis,0.00002936,,SCAQMD,,,,
2212,Hymenosporum flavum,0.0004292,,SCAQMD,,,,
2212,Jacaranda mimosifolia,0.03019,,SCAQMD,,,,
2212,Juglans,0.0000257,,SCAQMD,,,,
2212,Juglans hindsii,0.00006228,,SCAQMD,,,,
2212,Juglans nigra,0.000195,,SCAQMD,,,,
2212,Juglans regia,0.0001081,,SCAQMD,,,,
2212,Juniperus,0.00002936,,SCAQMD,,,,
2212,Juniperus chinensis,0.00223,,SCAQMD,,,,
2212,Koelreuteria bipinnata,0.01988,,SCAQMD,,,,
2212,Koelreuteria paniculata,0.003281,,SCAQMD,,,,
2212,Lagerstroemia indica,0.06361,,SCAQMD,,,,
2212,Laurus nobilis,0.00006791,,SCAQMD,,,,
2212,Ligustrum lucidum,0.001473,,SCAQMD,,,,
2212,Liquidambar styraciflua,0.05481,,SCAQMD,,,,
2212,Liriodendron tulipifera,0.01117,,SCAQMD,,,,
2212,Luma apiculata,0.00004582,,SCAQMD,,,,
2212,Magnolia grandiflora,0.02514,,SCAQMD,,,,
2212,Magnolia soulangiana,0.0001835,,SCAQMD,,,,
2212,Malus,0.00007152,,SCAQMD,,,,
2212,Malus floribunda,0.00001285,,SCAQMD,,,,
2212,Malus sylvestris,0.0000257,,SCAQMD,,,,
2212,Melaleuca linariifolia,0.001193,,SCAQMD,,,,
2212,Melaleuca nesophila,0.0003772,,SCAQMD,,,,
2212,Melaleuca quinquenervia,0.01556,,SCAQMD,,,,
2212,Melia azedarach,0.005192,,SCAQMD,,,,
2212,Morus alba,0.009391,,SCAQMD,,,,
2212,Morus nigra,0.00002936,,SCAQMD,,,,
2212,Morus rubra,0.0001009,,SCAQMD,,,,
2212,Myoporum laetum,0.00001285,,SCAQMD,,,,
2212,Nerium oleander,0.0001596,,SCAQMD,,,,
2212,Olea europaea,0.003338,,SCAQMD,,,,
2212,Parkinsonia aculeata,0.0001668,,SCAQMD,,,,
2212,Persea americana,0.0004457,,SCAQMD,,,,
2212,Phoenix canariensis,0.007209,,SCAQMD,,,,
2212,Phoenix dactylifera,0.000262,,SCAQMD,,,,
2212,Phoenix reclinata,0.0001174,,SCAQMD,,,,
2212,Phoenix roebelenii,0.003582,,SCAQMD,,,,
2212,Phoenix rupicola,0.0000257,,SCAQMD,,,,
2212,Photinia x fraseri,0.0001009,,SCAQMD,,,,
2212,Picea,0.00001285,,SCAQMD,,,,
2212,Pinus brutia,0.006778,,SCAQMD,,,,
2212,Pinus canariensis,0.02318,,SCAQMD,,,,
2212,Pinus eldarica,0.01025,,SCAQMD,,,,
2212,Pinus halepensis,0.009098,,SCAQMD,,,,
2212,Pinus pinea,0.005004,,SCAQMD,,,,
2212,Pinus radiata,0.0001539,,SCAQMD,,,,
2212,Pinus thunbergiana,0.002039,,SCAQMD,,,,
2212,Pistacia chinensis,0.02321,,SCAQMD,,,,
2212,Pithecellobium dulce,0.00006791,,SCAQMD,,,,
2212,Pittosporum tobira,0.00008442,,SCAQMD,,,,
2212,Pittosporum undulatum,0.00004582,,SCAQMD,,,,
2212,Pittosporum viridiflorum,0.0000257,,SCAQMD,,,,
2212,Platanus acerifolia,0.05414,,SCAQMD,,,,
2212,Platanus racemosa,0.01044,,SCAQMD,,,,
2212,Platycladus orientalis,0.001459,,SCAQMD,,,,
2212,Podocarpus gracilior,0.001098,,SCAQMD,,,,
2212,Podocarpus henkelii,0.0002827,,SCAQMD,,,,
2212,Podocarpus macrophyllus,0.0003284,,SCAQMD,,,,
2212,Populus alba,0.00002936,,SCAQMD,,,,
2212,Populus fremontii,0.0005864,,SCAQMD,,,,
2212,Populus nigra,0.00006228,,SCAQMD,,,,
2212,Populus trichocarpa,0.00004582,,SCAQMD,,,,
2212,Populus x canadensis,0.0003208,,SCAQMD,,,,
2212,Prosopis chilensis,0.0001045,,SCAQMD,,,,
2212,Prunus,0.00004221,,SCAQMD,,,,
2212,Prunus amygdalus,0.00004582,,SCAQMD,,,,
2212,Prunus armeniaca,0.0008288,,SCAQMD,,,,
2212,Prunus avium,0.0000257,,SCAQMD,,,,
2212,Prunus blireiana,0.0001374,,SCAQMD,,,,
2212,Prunus campanulata,0.00001285,,SCAQMD,,,,
2212,Prunus caroliniana,0.004496,,SCAQMD,,,,
2212,Prunus cerasifera,0.009457,,SCAQMD,,,,
2212,Prunus domestica,0.0002826,,SCAQMD,,,,
2212,Prunus ilicifolia ssp. lyonii,0.00002936,,SCAQMD,,,,
2212,Prunus mume,0.00009165,,SCAQMD,,,,
2212,Prunus persica,0.001187,,SCAQMD,,,,
2212,Psidium guajava,0.0002092,,SCAQMD,,,,
